id,age,capital-gain,capital-loss,hours-per-week,class
1,31,0,0,40,<=50K
2,35,0,0,52,<=50K
3,37,0,0,40,<=50K
4,42,0,0,45,>50K
5,21,0,0,40,<=50K
6,40,0,0,40,<=50K
7,23,0,0,10,<=50K
8,37,0,0,50,>50K
9,38,0,0,40,<=50K
10,36,0,0,40,>50K
11,48,0,0,40,<=50K
12,42,0,0,40,>50K
13,30,0,0,35,<=50K
14,37,0,0,39,<=50K
15,29,0,0,55,>50K
16,47,0,0,45,<=50K
17,47,0,2002,42,<=50K
18,33,0,0,48,<=50K
19,24,0,1980,50,<=50K
20,68,0,0,12,<=50K
21,43,0,0,50,>50K
22,25,0,0,40,<=50K
23,27,0,0,40,<=50K
24,50,0,2415,60,>50K
25,19,0,0,60,<=50K
26,32,0,0,40,<=50K
27,30,0,0,40,<=50K
28,41,0,0,99,<=50K
29,21,0,0,40,<=50K
30,32,0,0,30,<=50K
31,47,0,0,45,<=50K
32,34,4787,0,47,>50K
33,47,0,0,60,>50K
34,31,0,0,99,<=50K
35,45,0,0,25,<=50K
36,40,0,0,38,<=50K
37,31,0,0,60,>50K
38,32,0,0,50,>50K
39,40,0,0,40,<=50K
40,37,0,2603,60,<=50K
41,31,0,0,50,<=50K
42,31,0,0,40,<=50K
43,18,0,1602,30,<=50K
44,61,0,0,40,<=50K
45,28,0,0,40,<=50K
46,47,0,0,50,>50K
47,55,0,0,60,<=50K
48,35,0,0,40,<=50K
49,31,0,0,40,<=50K
50,36,0,0,50,>50K
51,58,15024,0,32,>50K
52,33,0,0,50,<=50K
53,33,0,0,45,<=50K
54,30,0,0,44,<=50K
55,45,3325,0,60,<=50K
56,51,0,0,35,<=50K
57,44,0,0,40,<=50K
58,54,0,0,40,<=50K
59,42,0,0,50,<=50K
60,19,0,0,35,<=50K
61,31,0,0,40,<=50K
62,34,0,0,20,<=50K
63,27,0,0,50,<=50K
64,44,0,0,40,>50K
65,35,0,0,42,>50K
66,46,0,0,40,>50K
67,30,0,0,40,>50K
68,63,0,0,40,>50K
69,37,0,0,40,>50K
70,58,0,0,70,<=50K
71,48,0,1977,70,>50K
72,30,0,0,50,<=50K
73,45,0,0,40,>50K
74,63,0,0,50,<=50K
75,53,0,0,40,>50K
76,42,0,0,40,<=50K
77,31,0,0,40,>50K
78,32,0,0,40,<=50K
79,27,0,0,40,<=50K
80,60,0,1741,40,<=50K
81,24,0,0,40,<=50K
